DutyID,CplexValue
4341160,1,000000000
4343358,1,000000000
4343380,1,000000000
4343392,1,000000000
4343408,1,000000000
4343410,1,000000000
4343411,1,000000000
6373998,1,000000000
6507389,1,000000000
5294618,1,000000000
6681217,1,000000000
5867244,1,000000000
6520890,1,000000000
7077967,1,000000000
4504317,1,000000000
6031166,1,000000000
5507780,1,000000000
4360719,1,000000000
6318456,1,000000000
4772868,1,000000000
6313141,1,000000000
5804255,1,000000000
4829375,1,000000000
5884438,1,000000000
4474536,1,000000000
5601580,1,000000000
5721969,1,000000000
5395164,1,000000000
5514006,1,000000000
4424364,1,000000000
5754719,1,000000000
4906553,1,000000000
5595320,1,000000000
5691885,1,000000000
5899450,1,000000000
5428816,1,000000000
5999416,1,000000000
4775295,1,000000000
5524011,1,000000000
6415279,1,000000000
6387905,1,000000000
6543675,1,000000000
6382681,1,000000000
4779820,1,000000000
5403219,1,000000000
4774323,1,000000000
6509867,1,000000000
6537214,1,000000000
4481536,1,000000000
4553389,1,000000000
6632831,1,000000000
4590472,1,000000000
5280851,1,000000000
5719163,1,000000000
7055485,1,000000000
4536018,1,000000000
6546010,1,000000000
6167531,1,000000000
4551152,1,000000000
4394132,1,000000000
4935157,1,000000000
6457789,1,000000000
5678667,1,000000000
4734355,1,000000000
4516387,1,000000000
7067839,1,000000000
5427500,1,000000000
4665429,1,000000000
6423169,1,000000000
5470772,1,000000000
5250851,1,000000000
6666777,1,000000000
4530087,1,000000000
7076696,1,000000000
5184531,1,000000000
6380995,1,000000000
4558324,1,000000000
4557799,1,000000000
4491148,1,000000000
4420533,1,000000000
5462063,1,000000000
5758941,1,000000000
5555396,1,000000000
6411412,1,000000000
5402958,1,000000000
5385618,1,000000000
5989103,1,000000000
4495060,1,000000000
5103565,1,000000000
6394217,1,000000000
4608037,1,000000000
7006761,1,000000000
7081841,1,000000000
5535286,1,000000000
4502404,1,000000000
5061922,1,000000000
4430307,1,000000000
6355189,1,000000000
5609896,1,000000000
5381292,1,000000000
5335792,1,000000000
4896772,1,000000000
6546500,1,000000000
4591723,1,000000000
4466061,1,000000000
6260305,1,000000000
5747037,1,000000000
5402673,1,000000000
4344637,1,000000000
6503774,1,000000000
5379717,1,000000000
5560489,1,000000000
5505013,1,000000000
5598974,1,000000000
5686492,1,000000000
6843764,1,000000000
7006312,1,000000000
5726782,1,000000000
6497890,1,000000000
7079862,1,000000000
5428680,1,000000000
4548676,1,000000000
4385542,1,000000000
4461179,1,000000000
6553003,1,000000000
4421684,1,000000000
7039486,1,000000000
6430766,1,000000000
7071069,1,000000000
4581137,1,000000000
4437661,1,000000000
4377963,1,000000000
7087593,1,000000000
4606918,1,000000000
