DutyID,CplexValue
6787,1,000000000
6788,1,000000000
6791,1,000000000
6795,1,000000000
6802,1,000000000
6896,1,000000000
7050,1,000000000
7055,1,000000000
11446,1,000000000
9902,1,000000000
7822,1,000000000
7289,1,000000000
7650,1,000000000
12608,1,000000000
9149,1,000000000
12445,1,000000000
7997,1,000000000
8593,1,000000000
7581,1,000000000
12437,1,000000000
10730,1,000000000
7141,1,000000000
7475,1,000000000
8417,1,000000000
11578,1,000000000
7967,1,000000000
7108,1,000000000
7986,1,000000000
7198,1,000000000
12800,1,000000000
12591,1,000000000
9351,1,000000000
12838,1,000000000
7186,1,000000000
7481,1,000000000
8027,1,000000000
7064,1,000000000
12865,1,000000000
7977,1,000000000
12331,1,000000000
7261,1,000000000
7630,1,000000000
12806,1,000000000
7068,1,000000000
7390,1,000000000
12810,1,000000000
8173,1,000000000
12886,1,000000000
7206,1,000000000
7947,1,000000000
12872,1,000000000
12151,1,000000000
7911,1,000000000
12054,1,000000000
12246,1,000000000
7410,1,000000000
7959,1,000000000
12657,1,000000000
7940,1,000000000
7832,1,000000000
7594,1,000000000
7919,1,000000000
7595,1,000000000
7248,1,000000000
12883,1,000000000
12878,1,000000000
7065,1,000000000
7061,1,000000000
8068,1,000000000
12852,1,000000000
7584,1,000000000
7077,1,000000000
7274,1,000000000
7884,1,000000000
12874,1,000000000
12877,1,000000000
12882,1,000000000
7516,1,000000000
7073,1,000000000
8092,1,000000000
7905,1,000000000
12866,1,000000000
7298,1,000000000
12098,1,000000000
