1	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 23628, 'section': 22301, 'departure_time': 1536604260, 'arrival_time': 1536606360}
2	{'task_type': 'deadhead', 'locomotive': 22550, 'first_train_section': 23628, 'first_section': 22301, 'first_departure_time': 1536604260, 'first_arrival_time': 1536606360, 'second_train_section': 27184, 'second_section': 22416, 'second_departure_time': 1536611280, 'second_arrival_time': 1536616500}
3	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 27184, 'section': 22416, 'departure_time': 1536611280, 'arrival_time': 1536616500}
4	{'task_type': 'deadhead', 'locomotive': 22550, 'first_train_section': 23163, 'first_section': 22377, 'first_departure_time': 1536616860, 'first_arrival_time': 1536635340, 'second_train_section': 27539, 'second_section': 22373, 'second_departure_time': 1536638040, 'second_arrival_time': 1536643320}
5	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 27539, 'section': 22373, 'departure_time': 1536638040, 'arrival_time': 1536643320}
6	{'task_type': 'deadhead', 'locomotive': 22550, 'first_train_section': 27539, 'first_section': 22373, 'first_departure_time': 1536638040, 'first_arrival_time': 1536643320, 'second_train_section': 29500, 'second_section': 22343, 'second_departure_time': 1536662400, 'second_arrival_time': 1536670920}
7	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 29500, 'section': 22343, 'departure_time': 1536662400, 'arrival_time': 1536670920}
8	{'task_type': 'deadhead', 'locomotive': 22550, 'first_train_section': 29500, 'first_section': 22343, 'first_departure_time': 1536662400, 'first_arrival_time': 1536670920, 'second_train_section': 25417, 'second_section': 22281, 'second_departure_time': 1536674280, 'second_arrival_time': 1536680580}
9	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 25417, 'section': 22281, 'departure_time': 1536674280, 'arrival_time': 1536680580}
10	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 29531, 'section': 22343, 'departure_time': 1536681900, 'arrival_time': 1536692040}
11	{'task_type': 'deadhead', 'locomotive': 22550, 'first_train_section': 29531, 'first_section': 22343, 'first_departure_time': 1536681900, 'first_arrival_time': 1536692040, 'second_train_section': 26639, 'second_section': 22289, 'second_departure_time': 1536693900, 'second_arrival_time': 1536701520}
12	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 26639, 'section': 22289, 'departure_time': 1536693900, 'arrival_time': 1536701520}
13	{'task_type': 'deadhead', 'locomotive': 22550, 'first_train_section': 26639, 'first_section': 22289, 'first_departure_time': 1536693900, 'first_arrival_time': 1536701520, 'second_train_section': 24300, 'second_section': 22288, 'second_departure_time': 1536714420, 'second_arrival_time': 1536720960}
14	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 24300, 'section': 22288, 'departure_time': 1536714420, 'arrival_time': 1536720960}
15	{'task_type': 'deadhead', 'locomotive': 22550, 'first_train_section': 24300, 'first_section': 22288, 'first_departure_time': 1536714420, 'first_arrival_time': 1536720960, 'second_train_section': 28855, 'second_section': 22472, 'second_departure_time': 1536729180, 'second_arrival_time': 1536734340}
16	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 28855, 'section': 22472, 'departure_time': 1536729180, 'arrival_time': 1536734340}
17	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 22800, 'section': 22350, 'departure_time': 1536740700, 'arrival_time': 1536744720}
