1	{'task_type': 'regular', 'locomotive': 22560, 'train_section': 22653, 'section': 22273, 'departure_time': 1536722640, 'arrival_time': 1536728160}
2	{'task_type': 'deadhead', 'locomotive': 22560, 'first_train_section': 22653, 'first_section': 22273, 'first_departure_time': 1536722640, 'first_arrival_time': 1536728160, 'second_train_section': 22793, 'second_section': 22298, 'second_departure_time': 1536748920, 'second_arrival_time': 1536751620}
3	{'task_type': 'regular', 'locomotive': 22560, 'train_section': 22793, 'section': 22298, 'departure_time': 1536748920, 'arrival_time': 1536751620}
4	{'task_type': 'deadhead', 'locomotive': 22560, 'first_train_section': 22793, 'first_section': 22298, 'first_departure_time': 1536748920, 'first_arrival_time': 1536751620, 'second_train_section': 22808, 'second_section': 22466, 'second_departure_time': 1536840300, 'second_arrival_time': 1536841440}
5	{'task_type': 'regular', 'locomotive': 22560, 'train_section': 22808, 'section': 22466, 'departure_time': 1536840300, 'arrival_time': 1536841440}
6	{'task_type': 'deadhead', 'locomotive': 22560, 'first_train_section': 22808, 'first_section': 22466, 'first_departure_time': 1536840300, 'first_arrival_time': 1536841440, 'second_train_section': 22583, 'second_section': 22404, 'second_departure_time': 1536891660, 'second_arrival_time': 1536900900}
21	{'task_type': 'regular', 'locomotive': 22560, 'train_section': 22583, 'section': 22404, 'departure_time': 1536891660, 'arrival_time': 1536900900}
22	{'task_type': 'regular', 'locomotive': 22560, 'train_section': 22585, 'section': 22245, 'departure_time': 1536901080, 'arrival_time': 1536906540}
23	{'task_type': 'regular', 'locomotive': 22560, 'train_section': 22587, 'section': 22308, 'departure_time': 1536907260, 'arrival_time': 1536909960}
24	{'task_type': 'regular', 'locomotive': 22560, 'train_section': 22589, 'section': 22496, 'departure_time': 1536910860, 'arrival_time': 1536915660}
25	{'task_type': 'deadhead', 'locomotive': 22560, 'first_train_section': 22589, 'first_section': 22496, 'first_departure_time': 1536910860, 'first_arrival_time': 1536915660, 'second_train_section': 22751, 'second_section': 22457, 'second_departure_time': 1536922320, 'second_arrival_time': 1536924300}
26	{'task_type': 'regular', 'locomotive': 22560, 'train_section': 22751, 'section': 22457, 'departure_time': 1536922320, 'arrival_time': 1536924300}
131	{'task_type': 'deadhead', 'locomotive': 22560, 'first_train_section': 22751, 'first_section': 22457, 'first_departure_time': 1536922320, 'first_arrival_time': 1536924300, 'second_train_section': 22625, 'second_section': 22427, 'second_departure_time': 1536950700, 'second_arrival_time': 1536953940}
28	{'task_type': 'regular', 'locomotive': 22560, 'train_section': 22625, 'section': 22427, 'departure_time': 1536950700, 'arrival_time': 1536953940}
