1	{'task_type': 'regular', 'locomotive': 22552, 'train_section': 25608, 'section': 22373, 'departure_time': 1536551640, 'arrival_time': 1536556920}
2	{'task_type': 'deadhead', 'locomotive': 22552, 'first_train_section': 25608, 'first_section': 22373, 'first_departure_time': 1536551640, 'first_arrival_time': 1536556920, 'second_train_section': 23476, 'second_section': 22378, 'second_departure_time': 1536575700, 'second_arrival_time': 1536579360}
3	{'task_type': 'regular', 'locomotive': 22552, 'train_section': 23476, 'section': 22378, 'departure_time': 1536575700, 'arrival_time': 1536579360}
4	{'task_type': 'deadhead', 'locomotive': 22552, 'first_train_section': 23476, 'first_section': 22378, 'first_departure_time': 1536575700, 'first_arrival_time': 1536579360, 'second_train_section': 26153, 'second_section': 22513, 'second_departure_time': 1536593880, 'second_arrival_time': 1536595500}
5	{'task_type': 'regular', 'locomotive': 22552, 'train_section': 26153, 'section': 22513, 'departure_time': 1536593880, 'arrival_time': 1536595500}
6	{'task_type': 'regular', 'locomotive': 22552, 'train_section': 24277, 'section': 22473, 'departure_time': 1536595500, 'arrival_time': 1536616740}
7	{'task_type': 'regular', 'locomotive': 22556, 'train_section': 22874, 'section': 22440, 'departure_time': 1536530400, 'arrival_time': 1536550920}
8	{'task_type': 'regular', 'locomotive': 22556, 'train_section': 27649, 'section': 22438, 'departure_time': 1536550920, 'arrival_time': 1536562260}
9	{'task_type': 'regular', 'locomotive': 22556, 'train_section': 27039, 'section': 22331, 'departure_time': 1536563280, 'arrival_time': 1536574080}
10	{'task_type': 'deadhead', 'locomotive': 22556, 'first_train_section': 27039, 'first_section': 22331, 'first_departure_time': 1536563280, 'first_arrival_time': 1536574080, 'second_train_section': 23021, 'second_section': 22319, 'second_departure_time': 1536601260, 'second_arrival_time': 1536616680}
11	{'task_type': 'regular', 'locomotive': 22556, 'train_section': 23021, 'section': 22319, 'departure_time': 1536601260, 'arrival_time': 1536616680}
12	{'task_type': 'regular', 'locomotive': 22557, 'train_section': 26074, 'section': 22299, 'departure_time': 1536551460, 'arrival_time': 1536555240}
13	{'task_type': 'regular', 'locomotive': 22557, 'train_section': 26162, 'section': 22279, 'departure_time': 1536562200, 'arrival_time': 1536567780}
14	{'task_type': 'regular', 'locomotive': 22557, 'train_section': 26816, 'section': 22313, 'departure_time': 1536569280, 'arrival_time': 1536574200}
15	{'task_type': 'regular', 'locomotive': 22557, 'train_section': 26662, 'section': 22285, 'departure_time': 1536580920, 'arrival_time': 1536590040}
16	{'task_type': 'deadhead', 'locomotive': 22557, 'first_train_section': 26662, 'first_section': 22285, 'first_departure_time': 1536580920, 'first_arrival_time': 1536590040, 'second_train_section': 22843, 'second_section': 22331, 'second_departure_time': 1536592080, 'second_arrival_time': 1536602940}
17	{'task_type': 'regular', 'locomotive': 22557, 'train_section': 22843, 'section': 22331, 'departure_time': 1536592080, 'arrival_time': 1536602940}
18	{'task_type': 'regular', 'locomotive': 22558, 'train_section': 26622, 'section': 22237, 'departure_time': 1536530400, 'arrival_time': 1536553500}
19	{'task_type': 'regular', 'locomotive': 22558, 'train_section': 27803, 'section': 22238, 'departure_time': 1536553500, 'arrival_time': 1536557100}
20	{'task_type': 'regular', 'locomotive': 22558, 'train_section': 22663, 'section': 22281, 'departure_time': 1536563640, 'arrival_time': 1536568800}
21	{'task_type': 'regular', 'locomotive': 22558, 'train_section': 26781, 'section': 22351, 'departure_time': 1536569280, 'arrival_time': 1536574440}
22	{'task_type': 'deadhead', 'locomotive': 22558, 'first_train_section': 26781, 'first_section': 22351, 'first_departure_time': 1536569280, 'first_arrival_time': 1536574440, 'second_train_section': 26516, 'second_section': 22360, 'second_departure_time': 1536598080, 'second_arrival_time': 1536609720}
23	{'task_type': 'regular', 'locomotive': 22558, 'train_section': 26516, 'section': 22360, 'departure_time': 1536598080, 'arrival_time': 1536609720}
24	{'task_type': 'regular', 'locomotive': 22559, 'train_section': 25148, 'section': 22242, 'departure_time': 1536585660, 'arrival_time': 1536588420}
25	{'task_type': 'deadhead', 'locomotive': 22559, 'first_train_section': 25148, 'first_section': 22242, 'first_departure_time': 1536585660, 'first_arrival_time': 1536588420, 'second_train_section': 27299, 'second_section': 22404, 'second_departure_time': 1536599940, 'second_arrival_time': 1536608820}
26	{'task_type': 'regular', 'locomotive': 22559, 'train_section': 27299, 'section': 22404, 'departure_time': 1536599940, 'arrival_time': 1536608820}
27	{'task_type': 'regular', 'locomotive': 22559, 'train_section': 27301, 'section': 22245, 'departure_time': 1536609420, 'arrival_time': 1536614100}
