1	{'task_type': 'deadhead', 'locomotive': 22550, 'first_train_section': 24092, 'first_section': 22464, 'first_departure_time': 1536530400, 'first_arrival_time': 1536552780, 'second_train_section': 25954, 'second_section': 22381, 'second_departure_time': 1536579120, 'second_arrival_time': 1536581040}
2	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 25954, 'section': 22381, 'departure_time': 1536579120, 'arrival_time': 1536581040}
3	{'task_type': 'deadhead', 'locomotive': 22550, 'first_train_section': 25954, 'first_section': 22381, 'first_departure_time': 1536579120, 'first_arrival_time': 1536581040, 'second_train_section': 23458, 'second_section': 22279, 'second_departure_time': 1536587400, 'second_arrival_time': 1536592320}
4	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 23458, 'section': 22279, 'departure_time': 1536587400, 'arrival_time': 1536592320}
5	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 25390, 'section': 22315, 'departure_time': 1536598080, 'arrival_time': 1536602580}
6	{'task_type': 'deadhead', 'locomotive': 22550, 'first_train_section': 25390, 'first_section': 22315, 'first_departure_time': 1536598080, 'first_arrival_time': 1536602580, 'second_train_section': 26589, 'second_section': 22284, 'second_departure_time': 1536605520, 'second_arrival_time': 1536609180}
7	{'task_type': 'regular', 'locomotive': 22550, 'train_section': 26589, 'section': 22284, 'departure_time': 1536605520, 'arrival_time': 1536609180}
8	{'task_type': 'regular', 'locomotive': 22554, 'train_section': 26703, 'section': 22438, 'departure_time': 1536550920, 'arrival_time': 1536562260}
9	{'task_type': 'deadhead', 'locomotive': 22554, 'first_train_section': 26703, 'first_section': 22438, 'first_departure_time': 1536550920, 'first_arrival_time': 1536562260, 'second_train_section': 26852, 'second_section': 22257, 'second_departure_time': 1536588000, 'second_arrival_time': 1536588720}
10	{'task_type': 'regular', 'locomotive': 22554, 'train_section': 26852, 'section': 22257, 'departure_time': 1536588000, 'arrival_time': 1536588720}
11	{'task_type': 'regular', 'locomotive': 22554, 'train_section': 26546, 'section': 22469, 'departure_time': 1536592620, 'arrival_time': 1536595020}
12	{'task_type': 'regular', 'locomotive': 22554, 'train_section': 23910, 'section': 22446, 'departure_time': 1536600060, 'arrival_time': 1536601140}
13	{'task_type': 'regular', 'locomotive': 22554, 'train_section': 23912, 'section': 22255, 'departure_time': 1536602700, 'arrival_time': 1536603600}
14	{'task_type': 'deadhead', 'locomotive': 22554, 'first_train_section': 23912, 'first_section': 22255, 'first_departure_time': 1536602700, 'first_arrival_time': 1536603600, 'second_train_section': 23250, 'second_section': 22289, 'second_departure_time': 1536607500, 'second_arrival_time': 1536615120}
15	{'task_type': 'regular', 'locomotive': 22554, 'train_section': 23250, 'section': 22289, 'departure_time': 1536607500, 'arrival_time': 1536615120}
