DutyID,TaskIDs
0,"97"
10,"214"
40,"100"
43,"78"
46,"79"
58,"215"
86,"216"
123,"208"
238,"26"
254,"213"
259,"194"
260,"107"
2239,"252 251 250 249 256 255 254 253"
1643,"44 43 42 41 40 46 45"
1173,"34 33 39 38 37 36 35"
1950,"68 67 66 65 71 70 69"
2619,"124 123 122 51 50 49 73"
702,"30 29 28 27 89 88 87"
661,"155 154 153 152 158 157 156"
2448,"119 118 117 116 121 120"
315,"230 229 228 227 232 231"
495,"172 171 176 175 174 173"
2145,"225 224 223 222 221 226"
427,"203 202 201 200 199 204"
298,"4 3 2 1 6 5"
908,"19 18 17 16 111"
1152,"134 133 132 131 135"
444,"238 237 236 240 239"
613,"13 12 11 15 14"
2733,"74 73 72 75"
1545,"185 184 183 186"
2770,"259 258 257 260"
1235,"247 246 245 248"
360,"149 148 151 150"
2794,"141 140 143 142"
1122,"218 217 220 219"
1047,"91 90 93 92"
2315,"138 137 136 139"
671,"178 177 180 179"
2739,"190 189 192 191"
631,"84 83 86 85"
393,"9 8 7 10"
616,"204 207 206 205"
1258,"95 94 96"
484,"81 80 82"
351,"53 52 54"
1206,"63 62 64"
2248,"23 25 24"
398,"234 233 235"
273,"167 166 168"
2255,"162 161 163"
1057,"103 105 104"
555,"60 59 61"
1012,"20 110 113"
1183,"21 112 22"
400,"197 198"
2518,"187 188"
261,"146 147"
2740,"47 48"
399,"55 56"
2110,"106 250"
664,"127 128"
466,"57 58"
2803,"76 77"
2802,"144 145"
2746,"125 126"
262,"164 165"
1214,"181 182"
275,"98 99"
409,"169 170"
2797,"211 212"
644,"109 128"
941,"129 130"
645,"241 242"
1097,"243 244"
2801,"193 261"
269,"195 108"
832,"31 32"
271,"195 196"
666,"101 102"
1080,"159 160"
1973,"114 115"
2153,"209 210"
