instance,window_size,runs_per_window,rand_iter,method,max_dh_duration,min_loco_knowledge,min_section_knowledge,disruption_start,disruption_end,nr_deadheads,deadheading_costs,nr_uncovered_tasks,nr_breaks_violated,nr_spared_drivers,total_time_seconds
S01,300,1,1,DP,720,1.0,1.0,1791,2396,39,7517280,3,0,0,0.8493208885192871
S01,300,1,1,DP,720,1.0,1.0,1791,2396,42,7370841,4,0,0,0.7781744003295898
S02,300,1,1,DP,720,1.0,1.0,1448,2603,94,15681435,5,3,0,1.423996925354004
S03,300,1,1,DP,720,1.0,1.0,5685,6232,33,4584061,6,0,0,0.3361380100250244
S04,300,1,1,DP,720,1.0,1.0,3919,4571,70,10540138,5,0,0,0.8809008598327637
S05,300,1,1,DP,720,1.0,1.0,3306,3708,86,12632766,10,0,0,1.2486438751220703
S01,300,1,1,DP,720,1.0,1.0,1791,2396,42,7370841,4,0,0,0.7766470909118652
S01,300,1,1,DP,720,1.0,1.0,1791,2396,41,5926930,5,0,0,0.011995792388916016
S02,300,1,1,DP,720,1.0,1.0,1448,2603,87,13164208,7,1,0,0.031553030014038086
S03,300,1,1,DP,720,1.0,1.0,5685,6232,35,5417128,7,0,0,0.013633012771606445
S04,300,1,1,DP,720,1.0,1.0,3919,4571,77,10429293,16,0,0,0.03563427925109863
S05,300,1,1,DP,720,1.0,1.0,3306,3708,100,13737123,24,0,0,0.04977083206176758
S06,300,1,1,DP,720,1.0,1.0,1445,1929,140,20883156,38,0,0,0.09197211265563965
S07,300,1,1,DP,720,1.0,1.0,4619,5058,111,15526038,24,0,0,0.10059380531311035
S08,300,1,1,DP,720,1.0,1.0,3964,4638,176,19875581,49,0,0,0.2961571216583252
S09,300,1,1,DP,720,1.0,1.0,4228,4979,235,26977835,45,0,0,0.5776698589324951
S10,300,1,1,DP,720,1.0,1.0,2221,3372,392,42556629,67,0,0,1.3148369789123535
S11,300,1,1,DP,720,1.0,1.0,1102,1482,620,70452360,114,0,0,4.29041314125061
